interface_type,model,target,ics_naive_mean,ics_mean,ics_log10_mean,ips_naive_mean,ips_mean,ips_log10_mean,ilddt_naive_mean,ilddt_mean,ilddt_log10_mean
NA-containing,M0268TS033_4,M0268,0.0114,0.006627906976744187,0.00945829219363507,0.041999999999999996,0.03170930232558139,0.03751512842439062,0.2616906975574903,0.25043604651162793,0.2569683750812957
all,M0268TS033_5,M0268,0.0,0.0,0.0,0.005545454545454545,0.006409326424870466,0.005763406093439807,0.12545343527128788,0.12026165803108811,0.12325974805184528
NA-NA,M0268TS033_5,M0268,,,,,,,,,
NA-protein,M0268TS033_5,M0268,0.0,0.0,0.0,0.012199999999999999,0.014383720930232557,0.012790820760327021,0.2569736151319756,0.24784302325581398,0.25312366603361974
protein-protein,M0268TS033_5,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.015853285387381497,0.0177196261682243,0.0167542219526355
NA-containing,M0268TS033_5,M0268,0.0,0.0,0.0,0.012199999999999999,0.014383720930232557,0.012790820760327021,0.2569736151319756,0.24784302325581398,0.25312366603361974
all,M0268TS051_1,M0268,0.4236363636363636,0.5490259067357514,0.47030585672594905,0.433090909090909,0.556142487046632,0.47928762206299735,0.5870222956128106,0.6402046632124352,0.6061715356487797
NA-NA,M0268TS051_1,M0268,,,,,,,,,
NA-protein,M0268TS051_1,M0268,0.4588,0.6000581395348837,0.51146283289355,0.46160000000000007,0.5999418604651162,0.5134531345543731,0.6268565398808001,0.6920988372093023,0.6511717444046794
protein-protein,M0268TS051_1,M0268,0.39433333333333326,0.5080093457943926,0.43655171263799575,0.4093333333333333,0.5209392523364486,0.45126739951855055,0.5538270920561528,0.5984953271028037,0.5692654343805735
NA-containing,M0268TS051_1,M0268,0.4588,0.6000581395348837,0.51146283289355,0.46160000000000007,0.5999418604651162,0.5134531345543731,0.6268565398808001,0.6920988372093023,0.6511717444046794
all,M0268TS051_2,M0268,0.43263636363636365,0.5579455958549222,0.4794862313449681,0.4251818181818182,0.5432875647668394,0.4695933651575167,0.5844245841836129,0.6362746113989637,0.6030813924698798
NA-NA,M0268TS051_2,M0268,,,,,,,,,
NA-protein,M0268TS051_2,M0268,0.46820000000000006,0.6101802325581395,0.5213016334739768,0.45500000000000007,0.5867383720930234,0.5045480786285965,0.626883810867948,0.6902732558139534,0.6505810430377142
protein-protein,M0268TS051_2,M0268,0.403,0.5159626168224299,0.44519209120185976,0.4003333333333334,0.5083644859813083,0.440925893809494,0.5490418952800002,0.592873831775701,0.5641254195416194
NA-containing,M0268TS051_2,M0268,0.46820000000000006,0.6101802325581395,0.5213016334739768,0.45500000000000007,0.5867383720930234,0.5045480786285965,0.626883810867948,0.6902732558139534,0.6505810430377142
all,M0268TS051_3,M0268,0.4349090909090909,0.5584896373056994,0.4811737974119451,0.41609090909090907,0.5359119170984457,0.46086346425397057,0.5863271351497302,0.6369896373056996,0.6045276278369695
NA-NA,M0268TS051_3,M0268,,,,,,,,,
NA-protein,M0268TS051_3,M0268,0.47379999999999994,0.6122267441860465,0.5257853889130729,0.442,0.5771627906976744,0.4923016268512222,0.6329388453430009,0.6950232558139534,0.6562440863676707
protein-protein,M0268TS051_3,M0268,0.4025,0.5152990654205607,0.44458641350429595,0.3945,0.5027570093457944,0.43508002803050255,0.5474840433220048,0.5903457943925233,0.5621133166918728
NA-containing,M0268TS051_3,M0268,0.47379999999999994,0.6122267441860465,0.5257853889130729,0.442,0.5771627906976744,0.4923016268512222,0.6329388453430009,0.6950232558139534,0.6562440863676707
all,M0268TS051_4,M0268,0.4324545454545454,0.5566528497409327,0.478859145390785,0.42227272727272724,0.5415932642487046,0.46703577894176035,0.581652571019366,0.6345544041450777,0.6007211734482947
NA-NA,M0268TS051_4,M0268,,,,,,,,,
NA-protein,M0268TS051_4,M0268,0.472,0.6102325581395349,0.5238885115016948,0.45380000000000004,0.5877732558139535,0.5040114801016041,0.6227925226329825,0.6873372093023256,0.646870701110348
protein-protein,M0268TS051_4,M0268,0.3995,0.513588785046729,0.4419291312491397,0.3960000000000001,0.5044766355140187,0.4367108313649514,0.5473692780080188,0.5921308411214954,0.562872479220797
NA-containing,M0268TS051_4,M0268,0.472,0.6102325581395349,0.5238885115016948,0.45380000000000004,0.5877732558139535,0.5040114801016041,0.6227925226329825,0.6873372093023256,0.646870701110348
all,M0268TS051_5,M0268,0.4069090909090909,0.5302020725388601,0.45254951523234466,0.3887272727272727,0.5045647668393782,0.4317117882309416,0.5847587807418358,0.6351321243523316,0.6028376467903103
NA-NA,M0268TS051_5,M0268,,,,,,,,,
NA-protein,M0268TS051_5,M0268,0.45,0.5894302325581395,0.5018890586576812,0.42699999999999994,0.5569244186046511,0.4754479475256585,0.630557822793817,0.6925058139534883,0.6538137086222057
protein-protein,M0268TS051_5,M0268,0.371,0.4825981308411215,0.412084587701452,0.35683333333333334,0.462481308411215,0.3958423740962439,0.5465929123651847,0.5890186915887851,0.5610305585070672
NA-containing,M0268TS051_5,M0268,0.45,0.5894302325581395,0.5018890586576812,0.42699999999999994,0.5569244186046511,0.4754479475256585,0.630557822793817,0.6925058139534883,0.6538137086222057
all,M0268TS110_1,M0268,0.0,0.0,0.0,0.007727272727272727,0.007139896373056996,0.007367977379521878,0.12353768148962656,0.11931088082901553,0.12174493029404294
NA-NA,M0268TS110_1,M0268,,,,,,,,,
NA-protein,M0268TS110_1,M0268,0.0,0.0,0.0,0.016999999999999998,0.016023255813953488,0.016351871879179185,0.2512180676328502,0.24379651162790694,0.2480340266854443
protein-protein,M0268TS110_1,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.017137359703606844,0.019257009345794395,0.018171228985818806
NA-containing,M0268TS110_1,M0268,0.0,0.0,0.0,0.016999999999999998,0.016023255813953488,0.016351871879179185,0.2512180676328502,0.24379651162790694,0.2480340266854443
all,M0268TS110_2,M0268,0.0,0.0,0.0,0.0041818181818181815,0.0036139896373056997,0.003939662113763243,0.10389021981534605,0.09932901554404147,0.10188490168133045
NA-NA,M0268TS110_2,M0268,,,,,,,,,
NA-protein,M0268TS110_2,M0268,0.0,0.0,0.0,0.0092,0.00811046511627907,0.008743356122476748,0.21336555693749798,0.2041511627906977,0.20948639274913505
protein-protein,M0268TS110_2,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.012660772213552753,0.01507943925233645,0.013637499374830548
NA-containing,M0268TS110_2,M0268,0.0,0.0,0.0,0.0092,0.00811046511627907,0.008743356122476748,0.21336555693749798,0.2041511627906977,0.20948639274913505
all,M0268TS110_3,M0268,0.0,0.0,0.0,0.008,0.007722797927461139,0.007750510184884176,0.1255631818530816,0.1208238341968912,0.12357654526931319
NA-NA,M0268TS110_3,M0268,,,,,,,,,
NA-protein,M0268TS110_3,M0268,0.0,0.0,0.0,0.017599999999999998,0.01733139534883721,0.017200833147742848,0.25570370095942085,0.2472325581395349,0.2521327259084749
protein-protein,M0268TS110_3,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.017112749264465512,0.01922429906542056,0.01814353612353532
NA-containing,M0268TS110_3,M0268,0.0,0.0,0.0,0.017599999999999998,0.01733139534883721,0.017200833147742848,0.25570370095942085,0.2472325581395349,0.2521327259084749
all,M0268TS110_4,M0268,0.0,0.0,0.0,0.03481818181818181,0.02300777202072539,0.029807218246205358,0.13447236318111308,0.12769430051813474,0.13168755778570224
NA-NA,M0268TS110_4,M0268,,,,,,,,,
NA-protein,M0268TS110_4,M0268,0.0,0.0,0.0,0.07659999999999999,0.05163372093023256,0.06615164362357347,0.266989509557455,0.25469767441860464,0.26185554842250425
protein-protein,M0268TS110_4,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.024041407867494823,0.02561682242990654,0.02493265203893987
NA-containing,M0268TS110_4,M0268,0.0,0.0,0.0,0.07659999999999999,0.05163372093023256,0.06615164362357347,0.266989509557455,0.25469767441860464,0.26185554842250425
all,M0268TS110_5,M0268,0.0,0.0,0.0,0.011272727272727273,0.009673575129533677,0.010473821713315177,0.1228644373038894,0.11896891191709844,0.12120300476571375
NA-NA,M0268TS110_5,M0268,,,,,,,,,
NA-protein,M0268TS110_5,M0268,0.0,0.0,0.0,0.0248,0.02170930232558139,0.023244722658555258,0.2497840242457387,0.24309883720930234,0.24688638697610432
protein-protein,M0268TS110_5,M0268,0.0,0.0,0.0,0.0,0.0,0.0,0.017098114852348262,0.019200934579439253,0.018126068906406372
